NGC_Num,Other names,General Type,Specific Type,Apparent magnitude
952,,N/A,Unknown,
953,,Galaxy,Elliptical galaxy,14.5
954,,Galaxy,Spiral galaxy,13.3
955,,Galaxy,Spiral galaxy,13
956,,Cluster,Open cluster,8.9
957,,Cluster,Open cluster,8.3
958,,Galaxy,Spiral galaxy,13
959,,Galaxy,Irregular galaxy,12.5
960,,Galaxy,Spiral galaxy,14
961,,Galaxy,Irregular galaxy,13
962,,Galaxy,Elliptical galaxy,14.2
963,,Galaxy,Galaxy,14.5
964,,Galaxy,Spiral galaxy,12.5
965,,Galaxy,Spiral galaxy,14.3
966,,Galaxy,Lenticular galaxy,14.1
967,,Galaxy,Lenticular galaxy,13.7
968,,Galaxy,Elliptical galaxy,13.8
969,,Galaxy,Lenticular galaxy,13.4
970,,Galaxy,Interacting galaxies,15.7
971,,Star,Star,
972,,Galaxy,Spiral galaxy,12.1
973,,Galaxy,Spiral galaxy,13.7
974,,Galaxy,Spiral galaxy,13.9
975,,Galaxy,Spiral galaxy,14.2
976,,Galaxy,Spiral galaxy,12.9
977,,Galaxy,Spiral galaxy,13
978,,Galaxy,Interacting galaxies,13.3
979,,Galaxy,Lenticular galaxy,13.8
980,,Galaxy,Lenticular galaxy,14.3
