NGC_Num,Other names,General Type,Specific Type,Apparent magnitude
456,(Located in Small Magellanic Cloud),Cluster,Open cluster,14.2
457,,Cluster,Open cluster,7
458,(Located in Small Magellanic Cloud),Cluster,Open cluster,11.9
459,,Galaxy,Spiral galaxy,15.7
460,(Located in Small Magellanic Cloud),Cluster,Open cluster,
461,,Galaxy,Spiral galaxy,13
462,,Galaxy,Galaxy,
463,,Galaxy,Lenticular galaxy,15.2
464,,Star,Double star,
465,(Located in Small Magellanic Cloud),Cluster,Open cluster,
466,,Galaxy,Lenticular galaxy,
467,,Galaxy,Lenticular galaxy,13.3
468,,Galaxy,Galaxy,15.1
469,,Galaxy,Galaxy,15
470,,Galaxy,Spiral galaxy,12.4
471,,Galaxy,Lenticular galaxy,14
472,,Galaxy,Galaxy,14.2
473,,Galaxy,Spiral galaxy,13.4
474,,Galaxy,Lenticular galaxy,12.9
475,,Galaxy,Galaxy,17.4
476,,Galaxy,Galaxy,15.2
477,,Galaxy,Spiral galaxy,14
478,,Galaxy,Spiral galaxy,14.8
479,,Galaxy,Spiral galaxy,15.1
480,,Galaxy,Galaxy,16.3
481,,Galaxy,Lenticular galaxy,14
482,,Galaxy,Spiral galaxy,14.5
483,,Galaxy,Spiral galaxy,14
484,,Galaxy,Elliptical galaxy,13
485,,Galaxy,Spiral galaxy,14.2
486,,Galaxy,Galaxy,
487,,Galaxy,Spiral galaxy,14
488,,Galaxy,Spiral galaxy,11.4
489,,Galaxy,Lenticular galaxy,13.4
490,,Galaxy,Spiral galaxy,15.6
491,,Galaxy,Spiral galaxy,13.2
492,,Galaxy,Galaxy,15.5
493,,Galaxy,Spiral galaxy,13
494,,Galaxy,Spiral galaxy,13.8
495,,Galaxy,Spiral galaxy,14
496,,Galaxy,Spiral galaxy,14.3
497,,Galaxy,Spiral galaxy,14.1
498,,Galaxy,Lenticular galaxy,16
499,,Galaxy,Lenticular galaxy,13.3
500,,Galaxy,Galaxy,15.2
501,,Galaxy,Elliptical galaxy,15.2
502,,Galaxy,Lenticular galaxy,13.8
503,,Galaxy,Elliptical galaxy,15.1
504,,Galaxy,Lenticular galaxy,14
505,,Galaxy,Lenticular galaxy,15.1
506,,Star,Star,14.9
507,,Galaxy,Lenticular galaxy,13
508,,Galaxy,Elliptical galaxy,14.5
509,,Galaxy,Lenticular galaxy,14.7
